
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=124>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=125>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=126>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=127>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=128>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=129>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=130>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=131>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=132>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=133>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=134>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=135>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=136>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=137>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=138>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=139>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=140>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=141>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=142>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=143>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=144>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=145>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=146>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=147>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=148>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=149>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=150>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=151>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=152>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=153>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=154>
